NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
Isaac Okoro,2,3,40.00%,,Ed Gray,1,1,50.00%,,,,,,
Darius Garland,2,3,40.00%,,Jerald Honeycutt,1,1,50.00%,,,,,,
Eddie Mast,2,3,40.00%,,Charles Smith (1975),1,1,50.00%,,,,,,
Phil Jordon,2,3,40.00%,,JR Bremer,1,1,50.00%,,,,,,
Willie Jones,1,3,25.00%,,Walter Herrmann,1,1,50.00%,,,,,,
Jackie Moreland,1,3,25.00%,,Othello Hunter,1,1,50.00%,,,,,,
Don Adams,1,3,25.00%,,Thomas Gardner,1,1,50.00%,,,,,,
Johnny High,1,3,25.00%,,Randolph Morris,1,1,50.00%,,,,,,
Audie Norris,2,3,40.00%,,Othyus Jeffers,1,1,50.00%,,,,,,
Purvis Short,1,3,25.00%,,Kyrylo Fesenko,1,1,50.00%,,,,,,
Sarunas Marciulionis,1,3,25.00%,,Sundiata Gaines,1,1,50.00%,,,,,,
Benoit Benjamin,1,3,25.00%,,Trey Johnson,1,1,50.00%,,,,,,
Kenny Thomas,1,3,25.00%,,Devin Ebanks,1,1,50.00%,,,,,,
Anthony Parker,1,3,25.00%,,Scott Machado,1,1,50.00%,,,,,,
Jamario Moon,1,3,25.00%,,Nick Calathes,1,1,50.00%,,,,,,
Johan Petro,2,3,40.00%,,Daniel Ochefu,1,1,50.00%,,,,,,
Jarrett Jack,1,3,25.00%,,Richaun Holmes,1,1,50.00%,,,,,,
OJ Mayo,1,3,25.00%,,Lorenzo Brown,1,1,50.00%,,,,,,
Kelly Oubre,1,3,25.00%,,Markus Howard,1,1,50.00%,,,,,,
Cal Christensen,1,3,25.00%,,Trayce Jackson-Davis,1,1,50.00%,,,,,,
Dave Meyers,1,3,25.00%,,Tyler Kolek,1,1,50.00%,,,,,,
Phil Ford,1,3,25.00%,,Wayne Yates,1,1,50.00%,,,,,,
John Bagley,1,3,25.00%,,Bill McGill,1,1,50.00%,,,,,,
James Ennis,1,3,25.00%,,Frido Frey,1,1,50.00%,,,,,,
Lee Shaffer,0,3,0.00%,,Gene Rock,1,1,50.00%,,,,,,
Neil Johnson,0,3,0.00%,,Mike Novak,1,1,50.00%,,,,,,
Willie Norwood,0,3,0.00%,,Harry Donovan,1,1,50.00%,,,,,,
Kevin Restani,0,3,0.00%,,Bob Carpenter,1,1,50.00%,,,,,,
Brevin Knight,0,3,0.00%,,Clint Wager,1,1,50.00%,,,,,,
Vitaly Potapenko,0,3,0.00%,,Kevin O'Shea,1,1,50.00%,,,,,,
Troy Hudson,0,3,0.00%,,Zeke Zawoluk,1,1,50.00%,,,,,,
Desmond Mason,0,3,0.00%,,Gene Rhodes,1,1,50.00%,,,,,,
Michael Redd,0,3,0.00%,,Pat Dunn,1,1,50.00%,,,,,,
Earl Boykins,0,3,0.00%,,Frank Radovich,1,1,50.00%,,,,,,
Brandon Roy,0,3,0.00%,,Dave Newmark,1,1,50.00%,,,,,,
Rudy Fernandez,0,3,0.00%,,Gary Gregor,1,1,50.00%,,,,,,
Wilson Chandler,0,3,0.00%,,Samuel Williams,1,1,50.00%,,,,,,
Rudy Gay,0,3,0.00%,,Earnie Killum,1,1,50.00%,,,,,,
Michael Carter-Williams,0,3,0.00%,,Garfield Smith,1,1,50.00%,,,,,,
Terrance Ferguson,0,3,0.00%,,Clarence Glover,1,1,50.00%,,,,,,
Jonathan Isaac,0,3,0.00%,,Barry Nelson,1,1,50.00%,,,,,,
Khem Birch,0,3,0.00%,,John Wetzel,1,1,50.00%,,,,,,
Nerlens Noel,0,3,0.00%,,Dean Tolson,1,1,50.00%,,,,,,
Gary Trent Jr,0,3,0.00%,,Leon Benbow,1,1,50.00%,,,,,,
Jaxson Hayes,0,3,0.00%,,Terry Thomas,1,1,50.00%,,,,,,
Mitch Kupchak,15,3,83.33%,,Johnny Neumann,1,1,50.00%,,,,,,
Jordan Farmar,11,3,78.57%,,Toby Knight,1,1,50.00%,,,,,,
Norris Cole,11,3,78.57%,,Garry Witts,1,1,50.00%,,,,,,
Sasha Vujacic,9,3,75.00%,,Rich Yonakor,1,1,50.00%,,,,,,
Samaki Walker,8,3,72.73%,,Ed Sherod,1,1,50.00%,,,,,,
Larry Wright,7,3,70.00%,,Brook Steppe,1,1,50.00%,,,,,,
Todd MacCulloch,7,3,70.00%,,Lorenzo Charles,1,1,50.00%,,,,,,
Lew Hitch,7,3,70.00%,,Jeff Sanders,1,1,50.00%,,,,,,
Carl Herrera,7,3,70.00%,,Andy Toolson,1,1,50.00%,,,,,,
Spencer Haywood,6,3,66.67%,,Brian Oliver,1,1,50.00%,,,,,,
Glenn Robinson,5,3,62.50%,,Walter Palmer,1,1,50.00%,,,,,,
Andrew Wiggins,5,3,62.50%,,Dave Hoppen,1,1,50.00%,,,,,,
Josh Green,5,3,62.50%,,Kennard Winchester,1,1,50.00%,,,,,,
Anthony Bonner,6,3,66.67%,,Eric Anderson,1,1,50.00%,,,,,,
Bison Dele,5,3,62.50%,,Julius Nwosu,1,1,50.00%,,,,,,
Nate Robinson,5,3,62.50%,,Ron Grandison,1,1,50.00%,,,,,,
Dante Exum,5,3,62.50%,,Larry Stewart,1,1,50.00%,,,,,,
E'Twaun Moore,7,3,70.00%,,Kirk Haston,1,1,50.00%,,,,,,
Dick Schnittker,5,3,62.50%,,Laron Profit,1,1,50.00%,,,,,,
Tom Thacker,4,3,57.14%,,Jeremy Richardson,1,1,50.00%,,,,,,
Mitchell Robinson,4,3,57.14%,,Jawad Williams,1,1,50.00%,,,,,,
George Dempsey,4,3,57.14%,,Malcolm Thomas,1,1,50.00%,,,,,,
Ernie Beck,4,3,57.14%,,Jordan Adams,1,1,50.00%,,,,,,
Bill Willoughby,4,3,57.14%,,Lamar Patterson,1,1,50.00%,,,,,,
Eric Fernsten,5,3,62.50%,,David Stockton,1,1,50.00%,,,,,,
Jumaine Jones,4,3,57.14%,,Zhaire Smith,1,1,50.00%,,,,,,
Francisco Elson,4,3,57.14%,,Frank Mason,1,1,50.00%,,,,,,
Cameron Johnson,4,3,57.14%,,Bruno Caboclo,1,1,50.00%,,,,,,
Jason Maxiell,4,3,57.14%,,Chris Clemons,1,1,50.00%,,,,,,
Sam Young,4,3,57.14%,,Tremont Waters,1,1,50.00%,,,,,,
Sterling Brown,5,3,62.50%,,Carsen Edwards,1,1,50.00%,,,,,,
Neil Johnston,3,3,50.00%,,Trent Forrest,1,1,50.00%,,,,,,
Dave Twardzik,3,3,50.00%,,Patrick Baldwin,1,1,50.00%,,,,,,
Thanasis Antetokounmpo,4,3,57.14%,,Justin Champagnie,1,1,50.00%,,,,,,
Cody Zeller,3,3,50.00%,,Lindy Waters III,1,1,50.00%,,,,,,
Fred Hoiberg,4,3,57.14%,,Jaylon Tyson,1,1,50.00%,,,,,,
Kelvin Cato,4,3,57.14%,,Braxton Key,1,1,50.00%,,,,,,
Jarred Vanderbilt,3,3,50.00%,,Pacome Dadiet,1,1,50.00%,,,,,,
Ricky Sobers,3,3,50.00%,,James Harden,15,16,48.39%,,,,,,
Mike Bantom,3,3,50.00%,,Reggie Miller,14,15,48.28%,,,,,,
Rowland Garrett,3,3,50.00%,,Charles Oakley,14,15,48.28%,,,,,,
Jeremy Lin,4,3,57.14%,,Dirk Nowitzki,13,14,48.15%,,,,,,
Louis Amundson,3,3,50.00%,,Russell Westbrook,12,13,48.00%,,,,,,
Bob Houbregs,2,3,40.00%,,Charles Barkley,12,13,48.00%,,,,,,
George Lee,2,3,40.00%,,Patrick Mills,12,13,48.00%,,,,,,
Fred Carter,2,3,40.00%,,Steve Nash,11,12,47.83%,,,,,,
Nick Weatherspoon,2,3,40.00%,,Jason Terry,11,12,47.83%,,,,,,
Tom Kozelko,2,3,40.00%,,Steve Smith,11,12,47.83%,,,,,,
Chick Halbert,2,3,40.00%,,Jae Crowder,10,11,47.62%,,,,,,
Lee Knorek,2,3,40.00%,,Moses Malone,10,11,47.62%,,,,,,
Bud Palmer,2,3,40.00%,,Kurt Thomas,10,11,47.62%,,,,,,
John Block,2,3,40.00%,,Tom Hawkins,9,10,47.37%,,,,,,
Mike Newlin,2,3,40.00%,,Mike Bibby,9,10,47.37%,,,,,,
Jeff Wilkins,2,3,40.00%,,Anthony Mason,9,10,47.37%,,,,,,
Roy Tarpley,2,3,40.00%,,Eddie Johnson,9,10,47.37%,,,,,,
Isaac Austin,2,3,40.00%,,John Stockton,17,19,47.22%,,,,,,
Royal Ivey,4,3,57.14%,,Oscar Robertson,8,9,47.06%,,,,,,
Juwan Morgan,3,3,50.00%,,Doc Rivers,8,9,47.06%,,,,,,
Mikki Moore,2,3,40.00%,,Deron Williams,8,9,47.06%,,,,,,
Rodney Stuckey,2,3,40.00%,,Rudy LaRusso,8,9,47.06%,,,,,,
Terrence Jones,2,3,40.00%,,Antonio Daniels,8,9,47.06%,,,,,,
Dejounte Murray,2,3,40.00%,,Rodney Rogers,8,9,47.06%,,,,,,
Matisse Thybulle,2,3,40.00%,,Alvan Adams,8,9,47.06%,,,,,,
Austin Reaves,2,3,40.00%,,DeAndre Jordan,8,9,47.06%,,,,,,
Terry Furlow,3,3,50.00%,,Paul Mokeski,8,9,47.06%,,,,,,
Micheal Williams,3,3,50.00%,,Austin Croshere,7,8,46.67%,,,,,,
Ed Kalafat,2,3,40.00%,,Allen Leavell,7,8,46.67%,,,,,,
Ollie Johnson,2,3,40.00%,,Carlos Boozer,7,8,46.67%,,,,,,
Bob Wilkerson,2,3,40.00%,,Tyson Chandler,7,8,46.67%,,,,,,
Reggie Williams (1964),2,3,40.00%,,Happy Hairston,7,8,46.67%,,,,,,
Eldridge Recasner,2,3,40.00%,,David Wingate,7,8,46.67%,,,,,,
Isaiah Rider,2,3,40.00%,,Mark Jackson,12,14,46.15%,,,,,,
Steven Hunter,2,3,40.00%,,Cazzie Russell,6,7,46.15%,,,,,,
Von Wafer,2,3,40.00%,,Bob Hansen,6,7,46.15%,,,,,,
Tim Frazier,2,3,40.00%,,Willie Anderson,6,7,46.15%,,,,,,
Amir Coffey,3,3,50.00%,,Ed Macauley,6,7,46.15%,,,,,,
Jordan McLaughlin,2,3,40.00%,,Cedric Ceballos,6,7,46.15%,,,,,,
Stan Stutz,1,3,25.00%,,Earl Lloyd,6,7,46.15%,,,,,,
Dike Eddleman,1,3,25.00%,,Doug Christie,6,7,46.15%,,,,,,
Joe Holland,1,3,25.00%,,Goran Dragic,6,7,46.15%,,,,,,
Joe Holup,2,3,40.00%,,George Johnson (1948),6,7,46.15%,,,,,,
Johnny Green,1,3,25.00%,,Damon Stoudamire,6,7,46.15%,,,,,,
Rick Adelman,1,3,25.00%,,Terry Cummings,11,13,45.83%,,,,,,
Dale Schlueter,1,3,25.00%,,Paul Millsap,11,13,45.83%,,,,,,
Kenny Charles,1,3,25.00%,,Rafer Alston,5,6,45.45%,,,,,,
Slick Watts,1,3,25.00%,,Luol Deng,5,6,45.45%,,,,,,
Austin Carr,1,3,25.00%,,Tony Snell,5,6,45.45%,,,,,,
Bingo Smith,1,3,25.00%,,Jamal Mashburn,5,6,45.45%,,,,,,
Allan Bristow,1,3,25.00%,,Johnny Davis (1955),5,6,45.45%,,,,,,
Louie Dampier,1,3,25.00%,,Delonte West,5,6,45.45%,,,,,,
Glen Gondrezick,2,3,40.00%,,Maurice Evans,5,6,45.45%,,,,,,
Terry Catledge,1,3,25.00%,,Frank Selvy,5,6,45.45%,,,,,,
Jerome James,1,3,25.00%,,J.R. Reid,5,6,45.45%,,,,,,
Alvin Williams,1,3,25.00%,,Lance Stephenson,5,6,45.45%,,,,,,
Pat Burke,2,3,40.00%,,Ryan Anderson,5,6,45.45%,,,,,,
Luke Ridnour,1,3,25.00%,,James Johnson,5,6,45.45%,,,,,,
Kwame Brown,1,3,25.00%,,Nick Anderson,5,6,45.45%,,,,,,
Greivis Vasquez,1,3,25.00%,,Vladimir Radmanovic,5,6,45.45%,,,,,,
Kenneth Faried,1,3,25.00%,,Jaren Jackson,5,6,45.45%,,,,,,
Jordan Hill,1,3,25.00%,,Mike Muscala,5,6,45.45%,,,,,,
Kevin Seraphin,2,3,40.00%,,Ed Nealy,5,6,45.45%,,,,,,
Justise Winslow,1,3,25.00%,,Clifford Robinson,14,17,45.16%,,,,,,
Gerry Ward,1,3,25.00%,,Alton Lister,9,11,45.00%,,,,,,
Armond Hill,1,3,25.00%,,Chris Paul,12,15,44.44%,,,,,,
Terry Tyler,1,3,25.00%,,Craig Ehlo,8,10,44.44%,,,,,,
Tyrus Thomas,1,3,25.00%,,Dick McGuire,8,10,44.44%,,,,,,
Jordan Crawford,1,3,25.00%,,Walter Davis,8,10,44.44%,,,,,,
Justin Anderson,1,3,25.00%,,Brad Davis,4,5,44.44%,,,,,,
Johnny Logan,0,3,0.00%,,Karl-Anthony Towns,4,5,44.44%,,,,,,
Don Putman,0,3,0.00%,,Carlos Delfino,4,5,44.44%,,,,,,
Ed Sadowski,0,3,0.00%,,Monty Williams,4,5,44.44%,,,,,,
Belus Smawley,0,3,0.00%,,Gene Tormohlen,4,5,44.44%,,,,,,
Shellie McMillon,0,3,0.00%,,Kevin Ollie,4,5,44.44%,,,,,,
Jerry Chambers,0,3,0.00%,,Courtney Lee,4,5,44.44%,,,,,,
Don Kojis,0,3,0.00%,,Maxi Kleber,4,5,44.44%,,,,,,
Kermit Washington,0,3,0.00%,,Davis Bertans,4,5,44.44%,,,,,,
Mike Holton,0,3,0.00%,,Ernie Grunfeld,4,5,44.44%,,,,,,
Phil Hubbard,0,3,0.00%,,Alan Henderson,4,5,44.44%,,,,,,
John Williams,0,3,0.00%,,Donyell Marshall,4,5,44.44%,,,,,,
Billy Owens,0,3,0.00%,,Ronald Murray,4,5,44.44%,,,,,,
Ken Norman,0,3,0.00%,,Eric Bledsoe,4,5,44.44%,,,,,,
Stanley Roberts,0,3,0.00%,,Jim Brewer,4,5,44.44%,,,,,,
Derek Strong,0,3,0.00%,,Joe Caldwell,4,5,44.44%,,,,,,
Bob Sura,0,3,0.00%,,Solomon Hill,4,5,44.44%,,,,,,
Andrew DeClercq,0,3,0.00%,,Freddie Crawford,4,5,44.44%,,,,,,
Joel Przybilla,0,3,0.00%,,John Lambert,4,5,44.44%,,,,,,
Marc Jackson,0,3,0.00%,,Scott Brooks,4,5,44.44%,,,,,,
Dan Gadzuric,0,3,0.00%,,Carlos Arroyo,4,5,44.44%,,,,,,
Francisco Garcia,0,3,0.00%,,Orlando Woolridge,4,5,44.44%,,,,,,
Joey Graham,0,3,0.00%,,Armen Gilliam,4,5,44.44%,,,,,,
Landry Fields,0,3,0.00%,,Gordon Hayward,4,5,44.44%,,,,,,
Chandler Parsons,0,3,0.00%,,Mike Bratz,4,5,44.44%,,,,,,
Donatas Motiejunas,0,3,0.00%,,Dana Barros,4,5,44.44%,,,,,,
Wayne Ellington,0,3,0.00%,,George Senesky,4,5,44.44%,,,,,,
Jorge Gutierrez,0,3,0.00%,,Joe Fulks,4,5,44.44%,,,,,,
Thon Maker,0,3,0.00%,,Vlade Divac,11,14,44.00%,,,,,,
Alex Len,0,3,0.00%,,Buck Williams,11,14,44.00%,,,,,,
Bones Hyland,0,3,0.00%,,Rudy Gobert,7,9,43.75%,,,,,,
Josh Powell,13,3,81.25%,,Ervin Johnson,7,9,43.75%,,,,,,
Kenny Smith,10,3,76.92%,,Tyrone Hill,7,9,43.75%,,,,,,
Mark Landsberger,8,3,72.73%,,Paul Pressey,7,9,43.75%,,,,,,
Channing Frye,9,3,75.00%,,Billy Paultz,7,9,43.75%,,,,,,
Travis Knight,6,3,66.67%,,Fred Roberts,7,9,43.75%,,,,,,
Isaiah Joe,7,3,70.00%,,Jon Barry,7,9,43.75%,,,,,,
Bruce Brown,5,3,62.50%,,Max Zaslofsky,7,9,43.75%,,,,,,
Kleggie Hermsen,5,3,62.50%,,Dolph Schayes,10,13,43.48%,,,,,,
Jim Cleamons,4,3,57.14%,,Joe Johnson,10,13,43.48%,,,,,,
Alaa Abdelnaby,5,3,62.50%,,JJ Redick,10,13,43.48%,,,,,,
Rodney Buford,5,3,62.50%,,Mike Conley,9,12,42.86%,,,,,,
Jack George,3,3,50.00%,,Dikembe Mutombo,9,12,42.86%,,,,,,
Russ Schoene,3,3,50.00%,,Wali Jones,6,8,42.86%,,,,,,
Dick Garmaker,3,3,50.00%,,Larry Nance,6,8,42.86%,,,,,,
Bud Olsen,4,3,57.14%,,George Lynch,6,8,42.86%,,,,,,
Sonny Hertzberg,3,3,50.00%,,Allen Iverson,6,8,42.86%,,,,,,
Lloyd Walton,3,3,50.00%,,Kyle Anderson,6,8,42.86%,,,,,,
Larry Nance Jr,3,3,50.00%,,Alvin Scott,6,8,42.86%,,,,,,
Josh Minott,4,3,57.14%,,John Battle,6,8,42.86%,,,,,,
Chuck Gilmur,2,3,40.00%,,Carl Braun,6,8,42.86%,,,,,,
Zaid Abdul-Aziz,2,3,40.00%,,Anfernee Hardaway,6,8,42.86%,,,,,,
Don Ford,2,3,40.00%,,Si Green,3,4,42.86%,,,,,,
Charles Pittman,2,3,40.00%,,Blue Edwards,3,4,42.86%,,,,,,
Kevin Williams,2,3,40.00%,,Ben Simmons,3,4,42.86%,,,,,,
Leon Wood,3,3,50.00%,,Terance Mann,3,4,42.86%,,,,,,
Mario West,2,3,40.00%,,Al Ferrari,3,4,42.86%,,,,,,
Jakob Poeltl,2,3,40.00%,,Jason Richardson,3,4,42.86%,,,,,,
Mark McNamara,3,3,50.00%,,John Wall,3,4,42.86%,,,,,,
Eddie Lee Wilkins,2,3,40.00%,,Gary Harris,3,4,42.86%,,,,,,
Mark Strickland,3,3,50.00%,,Tyrese Maxey,3,4,42.86%,,,,,,
Nikola Jovic,2,3,40.00%,,Paul Reed,3,4,42.86%,,,,,,
Zoran Planinic,2,3,40.00%,,Flynn Robinson,3,4,42.86%,,,,,,
Anfernee Simons,2,3,40.00%,,Brad Sellers,3,4,42.86%,,,,,,
Terry Driscoll,2,3,40.00%,,Abdel Nader,3,4,42.86%,,,,,,
Chink Crossin,1,3,25.00%,,Antoine Wright,3,4,42.86%,,,,,,
Gene Vance,1,3,25.00%,,George McGinnis,3,4,42.86%,,,,,,
Ralph Simpson,1,3,25.00%,,Darren Daye,3,4,42.86%,,,,,,
Steve Alford,2,3,40.00%,,Greg Monroe,3,4,42.86%,,,,,,
Allen Crabbe,1,3,25.00%,,Victor Oladipo,3,4,42.86%,,,,,,
Nicolas Claxton,1,3,25.00%,,Danuel House,3,4,42.86%,,,,,,
Josh Okogie,1,3,25.00%,,John Long,3,4,42.86%,,,,,,
Kenny Rollins,1,3,25.00%,,Ed Pinckney,3,4,42.86%,,,,,,
Ralph Johnson,1,3,25.00%,,Lavoy Allen,3,4,42.86%,,,,,,
Bob Portman,1,3,25.00%,,Joel Kramer,3,4,42.86%,,,,,,
Bimbo Coles,1,3,25.00%,,Tony Bradley,3,4,42.86%,,,,,,
Marcus Banks,1,3,25.00%,,Shelvin Mack,3,4,42.86%,,,,,,
Anthony Tolliver,1,3,25.00%,,Reggie Bullock,3,4,42.86%,,,,,,
Trey Lyles,1,3,25.00%,,Jerry Reynolds,3,4,42.86%,,,,,,
Rondae Hollis-Jefferson,1,3,25.00%,,Pete Myers,3,4,42.86%,,,,,,
Timothe Luwawu,1,3,25.00%,,Brad Lohaus,3,4,42.86%,,,,,,
Dean Wade,1,3,25.00%,,Jack Haley,3,4,42.86%,,,,,,
Nelson Bobb,0,3,0.00%,,Bob Lavoy,3,4,42.86%,,,,,,
Vern Gardner,0,3,0.00%,,Moe Harkless,3,4,42.86%,,,,,,
Ken Murray,0,3,0.00%,,Tony Brown,3,4,42.86%,,,,,,
Jim Barnes,0,3,0.00%,,Paul George,8,11,42.11%,,,,,,
Walt Wesley,0,3,0.00%,,Sidney Moncrief,8,11,42.11%,,,,,,
Stan Love,0,3,0.00%,,Tyrone Corbin,8,11,42.11%,,,,,,
Billy Knight,0,3,0.00%,,Detlef Schrempf,10,14,41.67%,,,,,,
Eric Leckner,0,3,0.00%,,Mason Plumlee,5,7,41.67%,,,,,,
Jeff Grayer,0,3,0.00%,,Vinny Del Negro,5,7,41.67%,,,,,,
John Amaechi,0,3,0.00%,,Lenny Wilkens,5,7,41.67%,,,,,,
Earl Watson,0,3,0.00%,,Zelmo Beaty,5,7,41.67%,,,,,,
Mike Sweetney,0,3,0.00%,,Erick Dampier,5,7,41.67%,,,,,,
DerMarr Johnson,0,3,0.00%,,Gar Heard,5,7,41.67%,,,,,,
Yakhouba Diawara,0,3,0.00%,,Josh Howard,5,7,41.67%,,,,,,
Brandan Wright,0,3,0.00%,,Wally Szczerbiak,5,7,41.67%,,,,,,
Jarell Martin,0,3,0.00%,,Joel Embiid,5,7,41.67%,,,,,,
TJ Leaf,0,3,0.00%,,Phil Chenier,5,7,41.67%,,,,,,
Rodney Hood,6,3,66.67%,,Eric Gordon,5,7,41.67%,,,,,,
Major Jones,3,3,50.00%,,Al Attles,5,7,41.67%,,,,,,
Jeff Turner,3,3,50.00%,,Walt Hazzard,5,7,41.67%,,,,,,
Vlatko Cancar,5,3,62.50%,,Jon Koncak,5,7,41.67%,,,,,,
Toney Douglas,3,3,50.00%,,Paul Arizin,5,7,41.67%,,,,,,
Bill Closs,2,3,40.00%,,Tony Delk,5,7,41.67%,,,,,,
Brian Cardinal,3,3,50.00%,,Theo Ratliff,5,7,41.67%,,,,,,
Jake Layman,2,3,40.00%,,Jose Juan Barea,5,7,41.67%,,,,,,
Roger Phegley,2,3,40.00%,,Delon Wright,5,7,41.67%,,,,,,
Joe Wolf,2,3,40.00%,,Frankie Brian,5,7,41.67%,,,,,,
Bol Bol,3,3,50.00%,,Myles Turner,5,7,41.67%,,,,,,
Cherokee Parks,1,3,25.00%,,Shawn Kemp,7,10,41.18%,,,,,,
Andrew Goudelock,1,3,25.00%,,Dale Ellis,7,10,41.18%,,,,,,
Jayson Williams,1,3,25.00%,,Chris Webber,7,10,41.18%,,,,,,
Tracy Murray,1,3,25.00%,,Otis Thorpe,7,10,41.18%,,,,,,
Michael Stewart,1,3,25.00%,,Terry Porter,11,16,40.74%,,,,,,
Darius Morris,1,3,25.00%,,Nenê,8,12,40.00%,,,,,,
Kevin Knox,1,3,25.00%,,Ricky Pierce,8,12,40.00%,,,,,,
Stojko Vrankovic,0,3,0.00%,,Mark Eaton,6,9,40.00%,,,,,,
Shabazz Napier,0,3,0.00%,,Nate Thurmond,6,9,40.00%,,,,,,
Edmond Sumner,0,3,0.00%,,Radoslav Nesterovic,6,9,40.00%,,,,,,
K.C. Jones,18,2,90.00%,,Bill Hanzlik,6,9,40.00%,,,,,,
Tommy Heinsohn,17,2,89.47%,,Mike Sanders,6,9,40.00%,,,,,,
Jim Pollard,18,2,90.00%,,Georges Niang,4,6,40.00%,,,,,,
George Mikan,17,2,89.47%,,Dave Gambee,4,6,40.00%,,,,,,
Jim Loscutoff,10,2,83.33%,,Junior Bridgeman,4,6,40.00%,,,,,,
Bill Walton,11,2,84.62%,,Marques Johnson,4,6,40.00%,,,,,,
Mark Madsen,11,2,84.62%,,Kenny Anderson,4,6,40.00%,,,,,,
Festus Ezeli,8,2,80.00%,,John Lucas,4,6,40.00%,,,,,,
Alex Caruso,8,2,80.00%,,Jay Vincent,4,6,40.00%,,,,,,
Steve Kuberski,8,2,80.00%,,Tim Hardaway Jr,4,6,40.00%,,,,,,
Isaiah Hartenstein,7,2,77.78%,,Marc Iavaroni,4,6,40.00%,,,,,,
Whitey Skoog,7,2,77.78%,,Christian Laettner,4,6,40.00%,,,,,,
Dean Meminger,6,2,75.00%,,Red Rocha,4,6,40.00%,,,,,,
Ian Clark,8,2,80.00%,,Guy Rodgers,4,6,40.00%,,,,,,
Jonathan Kuminga,6,2,75.00%,,Rich Kelley,4,6,40.00%,,,,,,
Larry Spriggs,8,2,80.00%,,Artis Gilmore,4,6,40.00%,,,,,,
Stanislav Medvedenko,7,2,77.78%,,Reggie Lewis,4,6,40.00%,,,,,,
Moses Moody,6,2,75.00%,,Lawrence Funderburke,4,6,40.00%,,,,,,
Christian Braun,6,2,75.00%,,Elston Turner,4,6,40.00%,,,,,,
Tony Jaros,7,2,77.78%,,Don Buse,4,6,40.00%,,,,,,
Timofey Mozgov,7,2,77.78%,,DeShawn Stevenson,4,6,40.00%,,,,,,
Gary Payton II,5,2,71.43%,,Patrick Patterson,4,6,40.00%,,,,,,
Charles Dudley,5,2,71.43%,,Bobby Phills,4,6,40.00%,,,,,,
Zan Tabak,6,2,75.00%,,CJ Miles,4,6,40.00%,,,,,,
Sam Merrill,6,2,75.00%,,Bucky Bockhorn,2,3,40.00%,,,,,,
Dick Schulz,5,2,71.43%,,Chico Vaughn,2,3,40.00%,,,,,,
Kareem Rush,4,2,66.67%,,Kevin Kunnert,2,3,40.00%,,,,,,
Mike James (1975),4,2,66.67%,,Reggie King,2,3,40.00%,,,,,,
Kyle Kuzma,4,2,66.67%,,Keon Clark,2,3,40.00%,,,,,,
Luguentz Dort,5,2,71.43%,,Gordan Giricek,2,3,40.00%,,,,,,
George Kaftan,4,2,66.67%,,Onyeka Okongwu,2,3,40.00%,,,,,,
Med Park,4,2,66.67%,,Trae Young,2,3,40.00%,,,,,,
Larry Steele,4,2,66.67%,,Kevin Huerter,2,3,40.00%,,,,,,
Bob Gross,4,2,66.67%,,John Collins,2,3,40.00%,,,,,,
Steve Harris,4,2,66.67%,,Eddie Miles,2,3,40.00%,,,,,,
Brandon Rush,5,2,71.43%,,Eric Money,2,3,40.00%,,,,,,
Peyton Watson,5,2,71.43%,,DeMarcus Cousins,2,3,40.00%,,,,,,
Dick Farley,3,2,60.00%,,Erick Strickland,2,3,40.00%,,,,,,
Emmette Bryant,3,2,60.00%,,Kevin Martin,2,3,40.00%,,,,,,
Dick Cunningham,4,2,66.67%,,De'Andre Hunter,2,3,40.00%,,,,,,
Bruce Seals,3,2,60.00%,,Evan Mobley,2,3,40.00%,,,,,,
Tom LaGarde,3,2,60.00%,,Isaac Okoro,2,3,40.00%,,,,,,
Tim Perry,5,2,71.43%,,Darius Garland,2,3,40.00%,,,,,,
Daniel Gafford,3,2,60.00%,,Eddie Mast,2,3,40.00%,,,,,,
Jevon Carter,4,2,66.67%,,Phil Jordon,2,3,40.00%,,,,,,
Johnny McCarthy,3,2,60.00%,,Audie Norris,2,3,40.00%,,,,,,
Dick Garrett,4,2,66.67%,,Johan Petro,2,3,40.00%,,,,,,
Lewis Lloyd,3,2,60.00%,,Bob Houbregs,2,3,40.00%,,,,,,
Negele Knight,3,2,60.00%,,George Lee,2,3,40.00%,,,,,,
Henry James,3,2,60.00%,,Fred Carter,2,3,40.00%,,,,,,
DeSagana Diop,3,2,60.00%,,Nick Weatherspoon,2,3,40.00%,,,,,,
Chris Copeland,3,2,60.00%,,Tom Kozelko,2,3,40.00%,,,,,,
Guerschon Yabusele,3,2,60.00%,,Chick Halbert,2,3,40.00%,,,,,,
Leroy Chollet,3,2,60.00%,,Lee Knorek,2,3,40.00%,,,,,,
Wayne Hightower,2,2,50.00%,,Bud Palmer,2,3,40.00%,,,,,,
Leonard Gray,2,2,50.00%,,John Block,2,3,40.00%,,,,,,
Leon Douglas,2,2,50.00%,,Mike Newlin,2,3,40.00%,,,,,,
Perry Moss,2,2,50.00%,,Jeff Wilkins,2,3,40.00%,,,,,,
Mark Pope,3,2,60.00%,,Roy Tarpley,2,3,40.00%,,,,,,
James Singleton,2,2,50.00%,,Isaac Austin,2,3,40.00%,,,,,,
Ime Udoka,2,2,50.00%,,Mikki Moore,2,3,40.00%,,,,,,
Eric Maynor,2,2,50.00%,,Rodney Stuckey,2,3,40.00%,,,,,,
