NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
Robert Reid,9,9,50.00%,,Kareem Abdul-Jabbar,37,12,75.51%,,Marcus Smart,20,11,9,55.00%
Tyrone Hill,7,9,43.75%,,Horace Grant,27,9,75.00%,,Jason Collins,20,11,9,55.00%
Paul Pressey,7,9,43.75%,,Devean George,15,5,75.00%,,Sam Perkins,33,18,15,54.55%
Bill Hanzlik,6,9,40.00%,,Scott Williams,15,5,75.00%,,Tom Chambers,22,12,10,54.55%
Dennis Schroeder,5,9,35.71%,,Gerald Henderson Sr,15,5,75.00%,,Mark Bryant,22,12,10,54.55%
Blake Griffin,5,9,35.71%,,Charles Johnson,12,4,75.00%,,Dwight Howard,24,13,11,54.17%
Zach Randolph,4,9,30.77%,,Joel Anthony,12,4,75.00%,,Bryon Russell,24,13,11,54.17%
Wesley Matthews,4,9,30.77%,,Darvin Ham,9,3,75.00%,,Mark West,24,13,11,54.17%
George Gervin,3,9,25.00%,,Sasha Vujacic,9,3,75.00%,,Derrick McKey,28,15,13,53.57%
Danny Manning,3,9,25.00%,,Channing Frye,9,3,75.00%,,Clyde Drexler,30,16,14,53.33%
Jeff Teague,9,9,50.00%,,Dean Meminger,6,2,75.00%,,Dale Davis,30,16,14,53.33%
Billy Paultz,7,9,43.75%,,Jonathan Kuminga,6,2,75.00%,,Khris Middleton,15,8,7,53.33%
Fred Roberts,7,9,43.75%,,Moses Moody,6,2,75.00%,,Mike Riordan,15,8,7,53.33%
DeAndre Jordan,8,9,47.06%,,Christian Braun,6,2,75.00%,,Adrian Dantley,15,8,7,53.33%
Mike Sanders,6,9,40.00%,,Zan Tabak,6,2,75.00%,,Nick Van Exel,15,8,7,53.33%
Jon Barry,7,9,43.75%,,Sam Merrill,6,2,75.00%,,Kevin Duckworth,15,8,7,53.33%
James Donaldson,5,9,35.71%,,Leon Powe,6,2,75.00%,,Chris Morris,15,8,7,53.33%
Mike Brown (1963),3,9,25.00%,,Darko Milicic,6,2,75.00%,,Bam Adebayo,15,8,7,53.33%
Steve Blake,3,9,25.00%,,Tyronn Lue,6,2,75.00%,,Clemon Johnson,15,8,7,53.33%
Paul Mokeski,8,9,47.06%,,Damian Jones,6,2,75.00%,,Trent Tucker,15,8,7,53.33%
Max Zaslofsky,7,9,43.75%,,PJ Washington,3,1,75.00%,,Marc Gasol,17,9,8,52.94%
Joe Graboski,5,9,35.71%,,Jaden Hardy,3,1,75.00%,,Chris Mullin,17,9,8,52.94%
Bob Pettit,8,8,50.00%,,Bennedict Mathurin,3,1,75.00%,,Bailey Howell,17,9,8,52.94%
Cliff Hagan,8,8,50.00%,,Johnny Furphy,3,1,75.00%,,Metta World Peace,17,9,8,52.94%
Brook Lopez,8,8,50.00%,,Jim Tucker,3,1,75.00%,,Arnie Risen,17,9,8,52.94%
Austin Croshere,7,8,46.67%,,Gary Phillips,3,1,75.00%,,Scot Pollard,17,9,8,52.94%
Steven Adams,5,8,38.46%,,Corky Calhoun,3,1,75.00%,,Norman Powell,17,9,8,52.94%
Donovan Mitchell,4,8,33.33%,,Buddy Jeannette,3,1,75.00%,,John Starks,19,10,9,52.63%
David Wesley,3,8,27.27%,,Ronald Dupree,3,1,75.00%,,Greg Ostertag,19,10,9,52.63%
Brad Miller,1,8,11.11%,,Shelden Williams,3,1,75.00%,,Thabo Sefolosha,19,10,9,52.63%
James Jones,27,8,77.14%,,Dereck Lively,3,1,75.00%,,Kevin Willis,21,11,10,52.38%
Kendrick Perkins,19,8,70.37%,,AJ Lawson,3,1,75.00%,,Hidayet Turkoglu,21,11,10,52.38%
Mario Elie,16,8,66.67%,,Dwayne Jones,3,1,75.00%,,Rik Smits,21,11,10,52.38%
